OBJECTID,BSM,YSDM,TBYBH,TBBH,DLBM,DLMC,QSXZ,QSDWDM,QSDWMC,ZLDWDM,ZLDWMC,GDLX,KCLX,DLBZ,GDPDJ,KCDLBM,TKXS,TBMJ,XZDWMJ,LXDWMJ,TKMJ,TBDLMJ,PZWH,BGJLH,BGRQ,XZGDJFLY
741,171694,2001010100,1,1,31,有林地,30,530702203203,白水村民委员会,530702203203,白水村民委员会,,,,,,0,6483.26,2144.29,0,0,4338.97,,,,
868,171844,2001010100,929,1,43,其他草地,30,530702203201,大东村民委员会,530702203201,大东村民委员会,,,,,,0,43922.37,157.2,0,0,43765.17,,,,
1042,172579,2001010100,3190,1,31,有林地,30,530702203204,大东乡国有林,530702203204,大东乡国有林,,,,,,0,252150.39,2797.28,0,0,249353.11,,,,
2356,180599,2001010100,8844,1,43,其他草地,30,530702201201,龙山村民委员会,530702201201,龙山村民委员会,,,,,,0,9794.43,0,0,0,9794.43,,,,
3617,174990,2001010100,3713,1,127,裸地,30,530702004204,开文社区居委会,530702004204,开文社区居委会,,,,,,0,189011.23,0,0,0,189011.23,,,,
4083,178910,2001010100,7134,1,43,其他草地,30,530702004204,开文社区居委会,530702004202,龙泉社区居委会,,,,,,0,1212.88,0,0,0,1212.88,,,,
4769,180927,2001010100,9182,1,43,其他草地,30,530702003206,清溪社区居委会,530702003206,清溪社区居委会,,,,,,0,15383.63,0,0,0,15383.63,,,,
4886,179855,2001010100,8124,1,33,其他林地,30,530702004203,中济社区居委会,530702004203,中济社区居委会,,,,,,0,9867.26,0,0,0,9867.26,,,,
4979,184067,2001010100,12362,1,201,城市,20,530702004201,黄山社区居委会,530702003203,文汇社区居委会,,,,,,0,8670.95,0,0,0,8670.95,,,,
5044,182496,2001010100,10729,1,201,城市,20,530702003205,象山社区居委会,530702003205,象山社区居委会,,,,,,0,159919.97,0,0,0,159919.97,,,,
5237,185397,2001010100,13607,1,201,城市,20,530702003202,寨后社区居委会,530702003202,寨后社区居委会,,,,,,0,54178.15,0,0,0,54178.15,,,,
5797,187315,2001010100,15498,1,201,城市,20,530702002203,义和社区居委会,530702002203,义和社区居委会,,,,,,0,288871.17,0,0,0,288871.17,,,,
5838,182206,2001010100,10439,1,127,裸地,20,530702003207,玉泉公园管理所,530702003207,玉泉公园管理所,,,,,,0,3458.92,0,0,0,3458.92,,,,
5860,184173,2001010100,12478,1,43,其他草地,20,530702001201,北门办事处,530702001201,北门办事处,,,,,,0,2494.52,146.4,0,0,2348.12,,,,
6115,184356,2001010100,14310,1,31,有林地,20,530702001208,新华社区居委会,530702001208,新华社区居委会,,,,,,0,579.01,0,0,0,579.01,,,,
6215,185173,2001010100,13373,1,201,城市,20,530702001202,新义社区居委会,530702001202,新义社区居委会,,,,,,0,4830.34,0,0,0,4830.34,,,,
6587,183220,2001010100,11459,1,201,城市,20,530702003204,义正社区居委会,530702003204,义正社区居委会,,,,,,0,274256.38,0,0,0,274256.38,,,,
6720,186017,2001010100,14260,1,202,建制镇,20,530702001203,五一社区居委会,530702001203,五一社区居委会,,,,,,0,6086.97,0,0,0,6086.97,,,,
6751,183739,2001010100,11998,1,31,有林地,30,530702001206,义尚社区居委会,530702001206,义尚社区居委会,,,,,,0,2483.44,0,0,0,2483.44,,,,
6859,194015,2001010100,22224,1,113,水库水面,20,530702201207,光乐村民委员会,530702201207,光乐村民委员会,,,,,,0,4406.68,0,0,0,4406.68,,,,
6969,186298,2001010100,14494,1,201,城市,20,530702003201,金甲社区居委会,530702003201,金甲社区居委会,,,,,,0,261116.88,0,0,0,261116.88,,,,
7221,186771,2001010100,14977,1,201,城市,20,530702001205,光义社区居委会,530702001205,光义社区居委会,,,,,,0,92577.65,0,0,0,92577.65,,,,
7294,187325,2001010100,15548,1,201,城市,20,530702002202,八河社区居委会,530702002202,八河社区居委会,,,,,,0,12810.25,0,0,0,12810.25,,,,
