OBJECTID,BSM,YSDM,DLBM,DLMC,QSDWDM,QSDWMC,QSXZ,ZLTBBH,MJ,ZLDWDM,ZLDWMC,GDLX,GDPDJ,DLBZ,X,Y
1,231953,2001030100,118,水工建筑用地,530702201201,龙山村民委员会,30,332,20,530702201201,龙山村民委员会,,,,100.363556,26.87995033
2,231954,2001030100,203,村庄,530702201201,龙山村民委员会,30,356,13,530702201201,龙山村民委员会,,,,100.3531945,26.88053384
3,231955,2001030100,203,村庄,530702201201,龙山村民委员会,30,307,13,530702201201,龙山村民委员会,,,,100.3523507,26.88159989
4,231956,2001030100,118,水工建筑用地,530702201201,龙山村民委员会,30,169,13,530702201201,龙山村民委员会,,,,100.3406498,26.8854638
5,231930,2001030100,118,水工建筑用地,530702005202,金山街道办事处新团社区居委会,30,2294,80,530702005202,,,,,100.2919203,26.88261869
6,231923,2001030100,118,水工建筑用地,530702005202,金山街道办事处新团社区居委会,30,1611,120,530702005202,,,,,100.285107,26.87730547
7,231812,2001030100,205,风景名胜及特殊用地,530702005202,金山街道办事处新团社区居委会,30,476,60,530702005202,,,,,100.3021909,26.91158519
8,231820,2001030100,118,水工建筑用地,530702005202,金山街道办事处新团社区居委会,30,1070,30,530702005202,,,,,100.2921761,26.88856504
9,231823,2001030100,118,水工建筑用地,530702005202,金山街道办事处新团社区居委会,30,828,60,530702005202,,,,,100.286083,26.89970526
10,231945,2001030100,203,村庄,530702005202,金山街道办事处新团社区居委会,30,348,20,530702005202,,,,,100.3055819,26.91650649
11,231982,2001030100,118,水工建筑用地,530702202202,新民村民委员会,30,59,28,530702202202,新民村民委员会,,,,100.240343,26.72747959
12,231983,2001030100,118,水工建筑用地,530702202202,新民村民委员会,30,112,28,530702202202,新民村民委员会,,,,100.2413842,26.72652627
13,231984,2001030100,202,建制镇,530702202202,新民村民委员会,20,136,66,530702202202,新民村民委员会,,,,100.2425707,26.72486602
14,231848,2001030100,118,水工建筑用地,530702202204,三义村民委员会,30,708,25,530702202204,三义村民委员会,,,,100.2588674,26.66954665
15,231849,2001030100,118,水工建筑用地,530702202204,三义村民委员会,30,729,25,530702202204,三义村民委员会,,,,100.2573893,26.66952524
16,231850,2001030100,118,水工建筑用地,530702202204,三义村民委员会,30,750,25,530702202204,三义村民委员会,,,,100.2580825,26.66798444
17,231851,2001030100,118,水工建筑用地,530702202204,三义村民委员会,30,765,25,530702202204,三义村民委员会,,,,100.2578055,26.66722818
18,232130,2001030100,118,水工建筑用地,530702201201,龙山村民委员会,30,650,13,530702201201,龙山村民委员会,,,,100.341906,26.87093204
19,232131,2001030100,118,水工建筑用地,530702201201,龙山村民委员会,30,748,13,530702201201,龙山村民委员会,,,,100.3450282,26.86713638
20,232213,2001030100,118,水工建筑用地,530702202206,忠义村民委员会,30,194,70,530702202206,忠义村民委员会,,,,100.3377609,26.72562923
21,231853,2001030100,205,风景名胜及特殊用地,530702202204,三义村民委员会,30,919,16,530702202204,,,,,100.250982,26.67073798
22,232164,2001030100,118,水工建筑用地,530702202203,七河村民委员会,30,840,100,530702202203,,,,,100.2579684,26.71813869
23,232165,2001030100,205,风景名胜及特殊用地,530702202203,七河村民委员会,30,824,40,530702202203,,,,,100.2604575,26.71138208
24,232214,2001030100,118,水工建筑用地,530702202206,忠义村民委员会,30,101,70,530702202206,忠义村民委员会,,,,100.3614315,26.73226268
25,232215,2001030100,118,水工建筑用地,530702202206,忠义村民委员会,30,117,60,530702202206,忠义村民委员会,,,,100.3621425,26.7322646
26,232217,2001030100,202,建制镇,530702202201,共和村民委员会,20,267,28,530702202201,共和村民委员会,,,,100.2737385,26.76168908
27,232219,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,574,28,530702202201,共和村民委员会,,,,100.2723916,26.75090006
28,232220,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,35,16,530702202201,共和村民委员会,,,,100.2561296,26.77403891
29,232230,2001030100,202,建制镇,530702201205,增明村民委员会,10,418,320,530702201205,增明村民委员会,,,,100.4170918,26.80227878
30,231814,2001030100,118,水工建筑用地,530702005202,金山街道办事处新团社区居委会,30,573,50,530702005202,,,,,100.2864929,26.90875959
31,231987,2001030100,205,风景名胜及特殊用地,530702006201,开南街道办事处漾西社区居委会,30,2909,33,530702006201,,,,,100.2667393,26.79563784
32,232269,2001030100,202,建制镇,530702006201,开南街道办事处漾西社区居委会,10,3332,320,530702006201,,,,,100.2803119,26.7858145
33,232270,2001030100,202,建制镇,530702006201,开南街道办事处漾西社区居委会,10,3226,320,530702006201,,,,,100.278414,26.78850187
34,232271,2001030100,202,建制镇,530702006201,开南街道办事处漾西社区居委会,10,3022,320,530702006201,,,,,100.2752859,26.79267713
35,232238,2001030100,202,建制镇,530702202208,羊见村民委员会,10,15,320,530702202208,羊见村民委员会,,,,100.3864924,26.79030485
36,232239,2001030100,202,建制镇,530702202208,羊见村民委员会,10,47,320,530702202208,羊见村民委员会,,,,100.3824033,26.78891276
37,232240,2001030100,202,建制镇,530702201207,光乐村民委员会,10,381,320,530702201207,光乐村民委员会,,,,100.3765776,26.78685125
38,232241,2001030100,202,建制镇,530702201207,光乐村民委员会,10,382,320,530702201207,光乐村民委员会,,,,100.375374,26.78628116
39,232242,2001030100,202,建制镇,530702202208,羊见村民委员会,10,116,320,530702202208,羊见村民委员会,,,,100.3682817,26.78253103
40,232245,2001030100,202,建制镇,530702202208,羊见村民委员会,10,181,320,530702202208,羊见村民委员会,,,,100.3612887,26.77870498
41,232246,2001030100,202,建制镇,530702202208,羊见村民委员会,10,227,320,530702202208,羊见村民委员会,,,,100.3552267,26.7762719
42,232247,2001030100,202,建制镇,530702202208,羊见村民委员会,10,252,320,530702202208,羊见村民委员会,,,,100.3506641,26.77412261
43,232251,2001030100,202,建制镇,530702202207,龙潭村民委员会,10,8,320,530702202207,龙潭村民委员会,,,,100.335329,26.76740594
44,232252,2001030100,202,建制镇,530702202207,龙潭村民委员会,10,8,320,530702202207,龙潭村民委员会,,,,100.333447,26.76705072
45,232253,2001030100,202,建制镇,530702202207,龙潭村民委员会,10,7,320,530702202207,龙潭村民委员会,,,,100.324177,26.76588455
46,232254,2001030100,202,建制镇,530702202207,龙潭村民委员会,10,7,320,530702202207,龙潭村民委员会,,,,100.3189859,26.76535116
47,232255,2001030100,202,建制镇,530702202207,龙潭村民委员会,10,7,320,530702202207,龙潭村民委员会,,,,100.3171081,26.7653537
48,232256,2001030100,202,建制镇,530702202207,龙潭村民委员会,10,9,320,530702202207,龙潭村民委员会,,,,100.312547,26.76612695
49,232132,2001030100,118,水工建筑用地,530702201201,龙山村民委员会,30,832,13,530702201201,龙山村民委员会,,,,100.353685,26.86066515
50,232133,2001030100,118,水工建筑用地,530702201201,龙山村民委员会,30,821,13,530702201201,龙山村民委员会,,,,100.3639793,26.86212704
51,232134,2001030100,118,水工建筑用地,530702201201,龙山村民委员会,30,851,13,530702201201,龙山村民委员会,,,,100.3656354,26.86007458
52,232135,2001030100,202,建制镇,530702201201,龙山村民委员会,20,679,33,530702201201,龙山村民委员会,,,,100.3688113,26.86842351
53,232136,2001030100,118,水工建筑用地,530702201201,龙山村民委员会,30,452,13,530702201201,龙山村民委员会,,,,100.3624022,26.87423113
54,232137,2001030100,118,水工建筑用地,530702201201,龙山村民委员会,30,610,13,530702201201,龙山村民委员会,,,,100.3660101,26.87232142
55,232143,2001030100,205,风景名胜及特殊用地,530702202201,共和村民委员会,30,856,20,530702202201,共和村民委员会,,,,100.2673369,26.74333173
56,232144,2001030100,205,风景名胜及特殊用地,530702202201,共和村民委员会,30,875,50,530702202201,共和村民委员会,,,,100.274254,26.7423157
