OBJECTID,BSM,YSDM,DLBM,DLMC,XZDWYBH,XZDWBH,CD,KD,XZDWMJ,XZDWMC,QSDWDM1,QSDWMC1,QSDWDM2,QSDWMC2,KCTBBH1,KCTBDWDM1,KCTBBH2,KCTBDWDM2,QSXZ,KCBL,BGJLH,BGRQ,SHAPE_Leng,DLBZ
456,10860,2001020100,117,沟渠,1,2,514.2,2.7,1388.34,沟渠,530702203203,白水村民委员会,530702203203,白水村民委员会,1,530702203203,2,530702203203,30,0.5,,,514.2339668, 
1375,14869,2001020100,104,农村道路,4110,1,117.1,4.2,491.82,农村道路,530702203204,大东乡国有林,530702203201,大东村民委员会,1,530702203204,1567,530702203201,30,0.5,,,117.0956217, 
2385,14833,2001020100,104,农村道路,4265,2,118.9,4,475.6,农村道路,530702203204,大东乡国有林,530702203204,大东乡国有林,1,530702203204,2,530702203204,30,0.5,,,118.9428386, 
3092,14831,2001020100,104,农村道路,4263,3,10.5,4,42,农村道路,530702203204,大东乡国有林,530702203204,大东乡国有林,1,530702203204,2,530702203204,30,0.5,,,10.45669854, 
4900,28536,2001020100,104,农村道路,17690,1,62.3,4.7,292.81,农村道路,530702001201,北门办事处,530702001201,北门办事处,1,530702001201,2,530702001201,30,0.5,,,62.33993259, 
9557,45368,2001020100,104,农村道路,35335,1,12.6,2.7,34.02,农村道路,530702201205,增明村民委员会,530702201205,增明村民委员会,1,530702201205,5,530702201205,30,0.5,,,12.64871202, 
14022,58472,2001020100,104,农村道路,48322,5,280.3,2.1,588.63,农村道路,530702202207,龙潭村民委员会,530702202207,龙潭村民委员会,1,530702202207,5,530702202207,30,0.5,,,280.2916613, 
14093,62648,2001020100,111,河流水面,52884,3,523.3,4.5,2354.85,河流水面,530702202210,后山村民委员会,530702202210,后山村民委员会,1,530702202210,17,530702202210,20,0.5,,,523.3075618, 
14184,62883,2001020100,104,农村道路,53023,9,147.5,5.7,840.75,农村道路,530702202210,后山村民委员会,530702202210,后山村民委员会,1,530702202210,11,530702202210,30,0.5,,,147.5166054, 
15108,65142,2001020100,104,农村道路,54951,1,133.5,3.7,493.95,农村道路,530702205204,金江村民委员会,530702205204,金江村民委员会,1,530702205204,2,530702205204,30,0.5,,,133.4511604, 
21020,72610,2001020100,104,农村道路,,1,511.2,2.8,1431.36,,530702203203,白水村民委员会,,,1,530702203203,,,30,1,,,511.2297762, 
34077,43992,2001020100,117,沟渠,33503,1,80.4,1.5,120.6,沟渠,530702006201,开南街道办事处漾西社区居委会,530702005203,金山街道办事处东元社区居委会,1,530702006201,991,530702005203,30,0.5,,2015/2/7 0:00,,
34969,43832,2001020100,117,沟渠,33610,4,85,1.6,136,沟渠,530702006201,开南街道办事处漾西社区居委会,530702006201,开南街道办事处漾西社区居委会,1,530702006201,6,530702006201,30,0.5,,2015/2/7 0:00,,
37140,47075,2001020100,117,沟渠,37217,20,29.2,2.9,84.68,沟渠,530702006202,开南街道办事处贵峰社区居委会,530702006202,开南街道办事处贵峰社区居委会,1,530702006202,7,530702006202,30,0.5,,2015/2/7 0:00,,
37587,47262,2001020100,104,农村道路,37135,4,22.4,10.2,228.48,农村道路,530702006202,开南街道办事处贵峰社区居委会,530702006203,开南街道办事处良美社区居委会,1,530702006202,1285,530702006203,30,0.5,,2015/2/7 0:00,,
37588,47261,2001020100,104,农村道路,37134,3,10.8,10.2,110.16,农村道路,530702006202,开南街道办事处贵峰社区居委会,530702006203,开南街道办事处良美社区居委会,1,530702006202,1284,530702006203,30,0.5,,2015/2/7 0:00,,
